filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Mahler6_0,4,False,-0.84,0.20,7.40,0.38,2.26,-0.51,3.36,1.03,8.10,2.00
Mendelssohn5_0,4,True,-0.40,0.05,6.97,0.44,-0.37,0.06,8.70,0.38,7.90,9.00
Mendelssohn5_0,4,False,-1.12,0.21,6.52,1.16,2.77,-0.77,3.72,1.89,7.80,2.80
Mendelssohn9_0,4,True,0.32,0.00,7.60,0.40,0.58,-0.10,8.70,0.33,8.00,9.00
Mendelssohn9_0,4,False,-1.81,0.37,6.44,1.17,3.35,-0.84,3.36,2.42,7.80,2.50
Schubert1_0,4,True,-0.31,0.08,7.47,0.32,0.02,0.01,8.87,0.22,8.80,10.00
Schubert1_0,4,False,-0.11,0.06,7.28,0.30,-0.55,0.26,4.84,2.57,7.80,3.90
Schubert2_0,4,True,-0.70,0.12,7.57,0.35,-0.31,0.05,8.60,0.33,8.10,9.10
Schubert2_0,4,False,-1.18,0.23,7.07,0.95,0.01,-0.04,2.43,0.35,8.00,2.00
Schubert6_0,4,True,-1.11,0.14,7.00,0.91,-0.63,0.02,8.10,0.91,8.50,9.70
Schubert6_0,4,False,-1.58,0.29,6.88,0.84,1.39,-0.43,3.88,1.39,8.00,3.00
Schumann1_0,4,True,-1.03,0.15,7.29,0.75,-0.49,0.10,8.43,0.47,8.00,9.00
Schumann1_0,4,False,-1.44,0.24,6.67,1.00,0.48,-0.13,3.03,0.80,8.00,2.20
