filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,1.98,-0.70,4.70,0.82,-0.85,0.25,8.55,0.30,5.80,9.00
Reference Work,1,False,1.36,-0.20,5.70,0.88,1.03,-0.35,2.55,0.36,6.90,2.20
Beethoven5_0,1,True,-0.22,-0.05,6.07,1.02,-0.46,0.11,8.37,0.66,7.20,9.20
Beethoven5_0,1,False,0.80,0.00,5.60,1.00,0.13,-0.05,2.45,0.38,7.10,2.00
Mahler6_0,1,True,0.72,-0.20,5.36,1.14,0.19,-0.03,8.48,0.32,7.00,9.00
Mahler6_0,1,False,0.55,-0.07,6.16,0.50,0.70,-0.10,2.72,0.83,7.00,2.00
Mendelssohn5_0,1,True,-1.02,0.31,5.44,0.96,0.11,-0.04,8.12,0.24,6.80,9.00
Mendelssohn5_0,1,False,0.89,-0.16,5.88,0.68,0.57,-0.16,2.92,0.30,7.30,2.40
Mendelssohn9_0,1,True,-1.18,0.29,5.48,0.53,-0.64,0.19,8.32,0.37,6.30,8.70
Mendelssohn9_0,1,False,0.96,-0.00,5.90,1.12,0.10,-0.10,2.60,0.51,6.60,2.60
Schubert1_0,1,True,0.22,-0.05,5.89,1.06,-0.01,-0.01,8.46,0.35,7.10,9.20
Schubert1_0,1,False,0.15,0.02,6.06,1.17,0.51,-0.07,2.83,1.12,7.80,2.40
Schubert2_0,1,True,-0.53,0.09,5.73,0.82,-0.10,0.01,8.10,0.60,7.50,9.00
Schubert2_0,1,False,0.39,-0.04,6.27,0.87,0.56,-0.05,3.90,0.87,6.90,3.00
Schubert6_0,1,True,-0.07,0.08,5.57,0.93,0.29,-0.04,8.27,0.30,7.00,8.90
Schubert6_0,1,False,0.87,-0.07,6.27,1.06,-0.17,0.10,2.50,0.83,7.10,1.90
Schumann1_0,1,True,0.11,-0.24,5.44,1.39,0.19,-0.07,8.36,0.39,6.80,9.10
Schumann1_0,1,False,0.82,-0.11,6.28,0.60,1.68,-0.19,4.64,1.55,6.90,4.10
