filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,0.63,0.05,6.35,0.88,-1.08,0.40,6.80,0.42,7.60,7.10
Reference Work,1,False,-2.33,1.05,5.95,1.49,2.45,-0.65,6.35,1.02,6.70,6.60
Beethoven5_0,1,True,-0.49,0.08,6.80,0.34,0.37,-0.08,7.11,0.76,7.80,7.20
Beethoven5_0,1,False,-0.31,0.13,6.40,0.80,1.58,-0.22,5.97,1.44,7.10,4.60
Mahler6_0,1,True,0.28,-0.01,7.12,0.48,1.06,-0.29,6.24,0.51,7.70,6.50
Mahler6_0,1,False,-0.43,0.15,6.65,0.17,0.05,0.15,6.85,0.97,7.80,7.00
Mendelssohn5_0,1,True,-1.00,0.15,5.97,1.22,-0.80,0.14,7.13,0.50,7.20,7.80
Mendelssohn5_0,1,False,0.67,-0.07,5.88,1.23,0.11,-0.06,7.28,0.93,6.60,7.60
Mendelssohn9_0,1,True,1.43,-0.12,6.38,1.50,0.41,-0.05,8.07,0.41,6.90,8.30
Mendelssohn9_0,1,False,2.01,-0.45,6.15,1.11,1.02,-0.30,6.80,0.71,6.30,7.50
Schubert1_0,1,True,0.76,-0.09,6.57,0.71,1.31,-0.34,6.77,1.57,7.70,7.30
Schubert1_0,1,False,0.16,0.09,6.30,1.23,0.59,-0.05,7.60,0.81,7.60,7.10
Schubert2_0,1,True,1.42,-0.20,6.47,0.96,0.51,-0.09,6.87,0.39,7.30,7.70
Schubert2_0,1,False,1.12,-0.12,5.87,1.34,0.50,0.00,6.67,1.53,6.70,7.10
Schubert6_0,1,True,1.33,-0.14,6.44,1.15,0.04,-0.01,7.20,0.64,7.80,7.10
Schubert6_0,1,False,0.68,-0.10,6.70,0.74,1.08,-0.14,7.93,0.74,7.50,8.00
Schumann1_0,1,True,-0.79,0.23,6.56,0.48,0.06,-0.09,7.48,0.64,7.10,7.90
Schumann1_0,1,False,-0.64,0.40,6.20,0.92,1.29,-0.25,7.35,0.68,7.10,7.70
Reference Work,2,True,-1.48,0.20,6.80,1.23,0.11,-0.15,8.65,0.41,8.00,9.10
Reference Work,2,False,-0.62,0.10,6.80,0.93,2.12,-0.60,2.50,0.81,8.00,1.60
Beethoven5_0,2,True,-0.83,0.03,6.80,1.14,0.42,-0.11,8.44,0.46,8.00,9.10
Beethoven5_0,2,False,0.44,-0.06,6.63,0.42,2.19,-0.45,3.30,1.53,7.50,2.10
Mahler6_0,2,True,-0.18,-0.11,6.76,0.97,-0.35,0.04,8.20,0.28,8.00,9.00
Mahler6_0,2,False,1.17,-0.36,6.24,0.96,-0.09,-0.03,3.08,0.43,7.20,3.00
Mendelssohn5_0,2,True,-1.89,0.36,6.52,1.06,0.36,-0.21,8.16,0.81,7.60,9.00
Mendelssohn5_0,2,False,0.38,-0.10,6.80,0.14,-0.45,0.05,3.75,0.36,6.80,4.00
Mendelssohn9_0,2,True,-2.88,0.80,5.90,1.04,-1.25,0.45,8.15,0.73,7.00,8.70
Mendelssohn9_0,2,False,1.52,-0.40,6.60,0.57,-0.08,-0.00,3.20,0.63,7.10,2.90
Schubert1_0,2,True,-1.45,0.25,5.75,0.89,-1.52,0.40,8.00,0.57,6.60,8.90
Schubert1_0,2,False,1.69,-0.45,6.25,0.62,2.13,-0.85,3.85,1.28,6.40,3.90
Schubert2_0,2,True,-1.33,0.13,6.24,1.20,-1.18,0.29,7.96,0.71,8.00,9.00
Schubert2_0,2,False,2.35,-0.75,6.75,0.83,3.62,-1.10,4.40,1.74,7.10,2.90
Schubert6_0,2,True,-0.19,-0.06,6.03,1.23,-0.48,0.07,8.27,0.39,7.10,9.00
Schubert6_0,2,False,-0.20,-0.01,6.52,0.95,0.74,-0.09,3.28,1.06,7.50,2.20
Schumann1_0,2,True,-1.80,0.41,6.68,0.84,-1.12,0.21,7.72,0.77,7.20,8.30
Schumann1_0,2,False,2.31,-0.46,6.16,1.15,0.14,-0.09,3.52,0.39,6.90,2.90
Reference Work,3,True,-1.99,0.75,5.15,1.06,3.06,-0.50,6.90,1.82,6.10,4.80
Reference Work,3,False,0.17,-0.05,5.45,0.83,-2.98,0.30,4.80,2.35,5.60,6.20
Beethoven5_0,3,True,-1.23,0.44,5.92,1.26,2.57,-0.33,6.80,1.93,6.30,6.70
Beethoven5_0,3,False,-0.67,0.03,5.36,1.14,-2.57,0.36,4.72,1.78,6.00,5.20
Mahler6_0,3,True,1.81,-0.45,5.65,0.71,1.48,-0.20,7.70,1.12,5.90,7.90
Mahler6_0,3,False,-0.03,0.15,4.75,0.57,-1.83,0.55,6.75,0.59,4.60,6.50
Mendelssohn5_0,3,True,0.40,-0.01,5.60,0.63,1.33,-0.13,7.40,1.39,5.70,7.40
Mendelssohn5_0,3,False,-1.41,0.45,5.65,0.62,-0.04,-0.40,5.60,2.55,6.00,6.30
Mendelssohn9_0,3,True,-1.57,0.65,5.95,0.78,0.71,0.05,7.65,1.05,6.30,7.40
Mendelssohn9_0,3,False,-1.35,0.15,5.55,1.02,-0.10,-0.30,6.60,1.77,6.40,6.80
Schubert1_0,3,True,-0.07,0.15,5.95,0.48,2.70,-0.50,7.00,1.58,6.20,7.90
Schubert1_0,3,False,-0.14,-0.09,5.20,0.78,-0.90,-0.11,4.92,2.74,5.50,6.20
Schubert2_0,3,True,-0.28,0.20,5.60,0.45,3.67,-0.75,6.55,1.78,6.60,6.40
Schubert2_0,3,False,0.16,0.00,5.80,0.20,-4.49,1.05,4.95,1.83,6.70,5.60
Schubert6_0,3,True,-1.50,0.30,5.80,0.87,0.40,-0.01,8.08,0.74,6.50,8.00
Schubert6_0,3,False,-1.59,0.26,6.12,1.02,-1.46,0.11,5.12,1.45,6.40,7.00
Schumann1_0,3,True,0.81,-0.14,5.68,0.43,0.18,0.11,6.92,1.60,5.70,6.90
Schumann1_0,3,False,0.26,-0.09,6.08,0.45,-0.83,-0.14,5.48,2.14,6.80,5.50
Reference Work,4,True,-0.25,0.05,7.65,0.36,-0.47,0.15,8.95,0.22,8.40,9.90
Reference Work,4,False,0.49,-0.25,6.75,0.79,2.38,-0.70,2.60,1.05,7.80,2.00
Beethoven5_0,4,True,1.07,-0.23,7.20,0.70,0.13,0.04,8.88,0.52,8.00,9.90
Beethoven5_0,4,False,0.34,-0.09,6.56,0.86,0.81,-0.16,2.28,0.57,8.00,1.40
Mahler6_0,4,True,-0.06,-0.01,7.25,0.55,-0.40,0.05,8.57,0.44,8.30,9.20
Mahler6_0,4,False,-0.27,0.00,6.91,0.72,-0.89,0.03,4.43,1.87,7.90,3.20
Mendelssohn5_0,4,True,-0.12,0.00,7.04,0.80,-0.13,0.02,8.73,0.35,8.60,9.60
Mendelssohn5_0,4,False,-0.49,-0.03,6.64,0.92,-3.71,0.64,4.16,2.51,7.10,3.00
Mendelssohn9_0,4,True,-0.80,0.21,7.16,0.50,0.63,-0.07,8.36,0.59,8.00,9.10
Mendelssohn9_0,4,False,0.91,-0.23,6.64,0.69,5.40,-1.19,4.40,2.70,7.10,3.70
Schubert1_0,4,True,-0.47,0.08,7.53,0.55,-0.46,0.08,8.77,0.37,8.80,9.90
Schubert1_0,4,False,-0.21,-0.07,6.64,0.73,1.34,-0.29,2.72,0.72,7.80,2.00
Schubert2_0,4,True,-0.27,0.04,7.68,0.20,-0.34,0.09,8.80,0.18,8.60,9.60
Schubert2_0,4,False,1.03,-0.27,6.40,1.27,2.78,-0.51,3.30,1.78,7.60,2.00
Schubert6_0,4,True,-0.36,0.01,7.17,0.58,-0.33,0.05,8.57,0.45,8.30,9.50
Schubert6_0,4,False,-0.37,0.04,6.29,0.48,0.86,-0.05,5.03,2.37,7.70,3.00
Schumann1_0,4,True,-0.89,0.18,7.10,0.75,-0.42,0.08,8.53,0.32,8.50,9.80
Schumann1_0,4,False,0.19,-0.26,6.96,1.41,-0.22,-0.31,5.60,2.76,7.90,6.20
